03/31/2021 09:36:23 - WARNING - __main__ -   Process rank: -1, device: cuda:0, n_gpu: 2distributed training: False, 16-bits training: False
03/31/2021 09:36:23 - INFO - __main__ -   Training/evaluation parameters TrainingArguments(output_dir=/scratch/as11919/Domain-Adaptation/movie_roberta/roberta_DAPT_movies_model, overwrite_output_dir=True, do_train=True, do_eval=None, do_predict=False, evaluation_strategy=IntervalStrategy.NO, prediction_loss_only=False, per_device_train_batch_size=8, per_device_eval_batch_size=8, gradient_accumulation_steps=1, eval_accumulation_steps=None, learning_rate=5e-05, weight_decay=0.0, adam_beta1=0.9, adam_beta2=0.999, adam_epsilon=1e-08, max_grad_norm=1.0, num_train_epochs=3.0, max_steps=-1, lr_scheduler_type=SchedulerType.LINEAR, warmup_ratio=0.0, warmup_steps=0, logging_dir=runs/Mar31_09-36-23_gr026.nyu.cluster, logging_strategy=IntervalStrategy.STEPS, logging_first_step=False, logging_steps=500, save_strategy=IntervalStrategy.STEPS, save_steps=500, save_total_limit=None, no_cuda=False, seed=42, fp16=False, fp16_opt_level=O1, fp16_backend=auto, fp16_full_eval=False, local_rank=-1, tpu_num_cores=None, tpu_metrics_debug=False, debug=False, dataloader_drop_last=False, eval_steps=500, dataloader_num_workers=0, past_index=-1, run_name=/scratch/as11919/Domain-Adaptation/movie_roberta/roberta_DAPT_movies_model, disable_tqdm=False, remove_unused_columns=True, label_names=None, load_best_model_at_end=False, metric_for_best_model=None, greater_is_better=None, ignore_data_skip=False, sharded_ddp=[], deepspeed=None, label_smoothing_factor=0.0, adafactor=False, group_by_length=False, report_to=['tensorboard', 'wandb'], ddp_find_unused_parameters=None, dataloader_pin_memory=True, skip_memory_metrics=False, _n_gpu=2)
huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
{'loss': 2.5372, 'learning_rate': 4.99443029739984e-05, 'epoch': 0.0}
{'loss': 2.4967, 'learning_rate': 4.9888605947996804e-05, 'epoch': 0.01}
{'loss': 2.4687, 'learning_rate': 4.9832908921995204e-05, 'epoch': 0.01}
{'loss': 2.4799, 'learning_rate': 4.9777211895993605e-05, 'epoch': 0.01}
{'loss': 2.4066, 'learning_rate': 4.9721514869992006e-05, 'epoch': 0.02}
{'loss': 2.4484, 'learning_rate': 4.9665817843990406e-05, 'epoch': 0.02}
{'loss': 2.444, 'learning_rate': 4.96101208179888e-05, 'epoch': 0.02}
{'loss': 2.4344, 'learning_rate': 4.95544237919872e-05, 'epoch': 0.03}
{'loss': 2.4191, 'learning_rate': 4.94987267659856e-05, 'epoch': 0.03}
{'loss': 2.3595, 'learning_rate': 4.9443029739984e-05, 'epoch': 0.03}
{'loss': 2.4159, 'learning_rate': 4.93873327139824e-05, 'epoch': 0.04}
{'loss': 2.4234, 'learning_rate': 4.933163568798081e-05, 'epoch': 0.04}
{'loss': 2.4196, 'learning_rate': 4.927593866197921e-05, 'epoch': 0.04}
{'loss': 2.419, 'learning_rate': 4.922024163597761e-05, 'epoch': 0.05}
{'loss': 2.4387, 'learning_rate': 4.916454460997601e-05, 'epoch': 0.05}
{'loss': 2.4041, 'learning_rate': 4.910884758397441e-05, 'epoch': 0.05}
{'loss': 2.3646, 'learning_rate': 4.905315055797281e-05, 'epoch': 0.06}
{'loss': 2.374, 'learning_rate': 4.899745353197121e-05, 'epoch': 0.06}
{'loss': 2.3952, 'learning_rate': 4.894175650596961e-05, 'epoch': 0.06}
{'loss': 2.3705, 'learning_rate': 4.888605947996801e-05, 'epoch': 0.07}
{'loss': 2.4006, 'learning_rate': 4.883036245396641e-05, 'epoch': 0.07}
{'loss': 2.3352, 'learning_rate': 4.877466542796481e-05, 'epoch': 0.07}
{'loss': 2.346, 'learning_rate': 4.871896840196321e-05, 'epoch': 0.08}
{'loss': 2.3856, 'learning_rate': 4.866327137596161e-05, 'epoch': 0.08}
{'loss': 2.3289, 'learning_rate': 4.860757434996001e-05, 'epoch': 0.08}
{'loss': 2.364, 'learning_rate': 4.855187732395841e-05, 'epoch': 0.09}
{'loss': 2.3239, 'learning_rate': 4.849618029795681e-05, 'epoch': 0.09}
{'loss': 2.3676, 'learning_rate': 4.844048327195521e-05, 'epoch': 0.09}
{'loss': 2.3958, 'learning_rate': 4.8384786245953614e-05, 'epoch': 0.1}
{'loss': 2.2986, 'learning_rate': 4.8329089219952014e-05, 'epoch': 0.1}
{'loss': 2.3205, 'learning_rate': 4.8273392193950415e-05, 'epoch': 0.1}
{'loss': 2.3495, 'learning_rate': 4.821769516794881e-05, 'epoch': 0.11}
{'loss': 2.3815, 'learning_rate': 4.816199814194721e-05, 'epoch': 0.11}
{'loss': 2.3655, 'learning_rate': 4.810630111594562e-05, 'epoch': 0.11}
{'loss': 2.3434, 'learning_rate': 4.805060408994402e-05, 'epoch': 0.12}
{'loss': 2.3723, 'learning_rate': 4.799490706394242e-05, 'epoch': 0.12}
{'loss': 2.3547, 'learning_rate': 4.793921003794082e-05, 'epoch': 0.12}
{'loss': 2.3308, 'learning_rate': 4.788351301193922e-05, 'epoch': 0.13}
{'loss': 2.3341, 'learning_rate': 4.782781598593762e-05, 'epoch': 0.13}
{'loss': 2.2949, 'learning_rate': 4.777211895993602e-05, 'epoch': 0.13}
{'loss': 2.3723, 'learning_rate': 4.771642193393442e-05, 'epoch': 0.14}
{'loss': 2.2996, 'learning_rate': 4.766072490793282e-05, 'epoch': 0.14}
{'loss': 2.336, 'learning_rate': 4.7605027881931216e-05, 'epoch': 0.14}
{'loss': 2.3163, 'learning_rate': 4.7549330855929617e-05, 'epoch': 0.15}
{'loss': 2.3043, 'learning_rate': 4.749363382992802e-05, 'epoch': 0.15}
{'loss': 2.3478, 'learning_rate': 4.743793680392642e-05, 'epoch': 0.15}
{'loss': 2.3572, 'learning_rate': 4.738223977792482e-05, 'epoch': 0.16}
{'loss': 2.3286, 'learning_rate': 4.732654275192322e-05, 'epoch': 0.16}
{'loss': 2.3899, 'learning_rate': 4.727084572592162e-05, 'epoch': 0.16}
{'loss': 2.3182, 'learning_rate': 4.721514869992002e-05, 'epoch': 0.17}
{'loss': 2.2932, 'learning_rate': 4.715945167391842e-05, 'epoch': 0.17}
{'loss': 2.3041, 'learning_rate': 4.710375464791682e-05, 'epoch': 0.17}
{'loss': 2.345, 'learning_rate': 4.704805762191522e-05, 'epoch': 0.18}
{'loss': 2.3678, 'learning_rate': 4.699236059591362e-05, 'epoch': 0.18}
{'loss': 2.2914, 'learning_rate': 4.6936663569912023e-05, 'epoch': 0.18}
{'loss': 2.3007, 'learning_rate': 4.6880966543910424e-05, 'epoch': 0.19}
{'loss': 2.3438, 'learning_rate': 4.6825269517908825e-05, 'epoch': 0.19}
{'loss': 2.3376, 'learning_rate': 4.6769572491907225e-05, 'epoch': 0.19}
{'loss': 2.304, 'learning_rate': 4.6713875465905626e-05, 'epoch': 0.2}
{'loss': 2.2584, 'learning_rate': 4.6658178439904027e-05, 'epoch': 0.2}
{'loss': 2.3249, 'learning_rate': 4.660248141390243e-05, 'epoch': 0.2}
{'loss': 2.3358, 'learning_rate': 4.654678438790083e-05, 'epoch': 0.21}
{'loss': 2.3586, 'learning_rate': 4.649108736189923e-05, 'epoch': 0.21}
{'loss': 2.3118, 'learning_rate': 4.643539033589763e-05, 'epoch': 0.21}
{'loss': 2.2958, 'learning_rate': 4.637969330989603e-05, 'epoch': 0.22}
{'loss': 2.3457, 'learning_rate': 4.632399628389443e-05, 'epoch': 0.22}
{'loss': 2.3274, 'learning_rate': 4.626829925789283e-05, 'epoch': 0.22}
{'loss': 2.2762, 'learning_rate': 4.6212602231891225e-05, 'epoch': 0.23}
{'loss': 2.2948, 'learning_rate': 4.6156905205889625e-05, 'epoch': 0.23}
{'loss': 2.2874, 'learning_rate': 4.6101208179888026e-05, 'epoch': 0.23}
{'loss': 2.2729, 'learning_rate': 4.604551115388643e-05, 'epoch': 0.24}
{'loss': 2.2358, 'learning_rate': 4.598981412788483e-05, 'epoch': 0.24}
{'loss': 2.3143, 'learning_rate': 4.593411710188323e-05, 'epoch': 0.24}
{'loss': 2.295, 'learning_rate': 4.587842007588163e-05, 'epoch': 0.25}
{'loss': 2.3132, 'learning_rate': 4.582272304988003e-05, 'epoch': 0.25}
{'loss': 2.2538, 'learning_rate': 4.576702602387843e-05, 'epoch': 0.25}
{'loss': 2.2864, 'learning_rate': 4.571132899787683e-05, 'epoch': 0.26}
{'loss': 2.2771, 'learning_rate': 4.565563197187524e-05, 'epoch': 0.26}
{'loss': 2.2807, 'learning_rate': 4.559993494587363e-05, 'epoch': 0.26}
{'loss': 2.301, 'learning_rate': 4.554423791987203e-05, 'epoch': 0.27}
{'loss': 2.3128, 'learning_rate': 4.548854089387043e-05, 'epoch': 0.27}
{'loss': 2.3095, 'learning_rate': 4.5432843867868834e-05, 'epoch': 0.27}
{'loss': 2.3199, 'learning_rate': 4.5377146841867234e-05, 'epoch': 0.28}
{'loss': 2.283, 'learning_rate': 4.5321449815865635e-05, 'epoch': 0.28}
{'loss': 2.3658, 'learning_rate': 4.5265752789864036e-05, 'epoch': 0.28}
{'loss': 2.3122, 'learning_rate': 4.5210055763862436e-05, 'epoch': 0.29}
{'loss': 2.302, 'learning_rate': 4.515435873786084e-05, 'epoch': 0.29}
{'loss': 2.3024, 'learning_rate': 4.509866171185924e-05, 'epoch': 0.29}
{'loss': 2.2873, 'learning_rate': 4.504296468585764e-05, 'epoch': 0.3}
{'loss': 2.2587, 'learning_rate': 4.498726765985604e-05, 'epoch': 0.3}
{'loss': 2.3158, 'learning_rate': 4.493157063385444e-05, 'epoch': 0.3}
{'loss': 2.2619, 'learning_rate': 4.487587360785283e-05, 'epoch': 0.31}
{'loss': 2.2585, 'learning_rate': 4.4820176581851234e-05, 'epoch': 0.31}
{'loss': 2.3213, 'learning_rate': 4.4764479555849634e-05, 'epoch': 0.31}
{'loss': 2.2316, 'learning_rate': 4.4708782529848035e-05, 'epoch': 0.32}
{'loss': 2.2658, 'learning_rate': 4.4653085503846436e-05, 'epoch': 0.32}
{'loss': 2.3013, 'learning_rate': 4.4597388477844836e-05, 'epoch': 0.32}
{'loss': 2.2447, 'learning_rate': 4.454169145184324e-05, 'epoch': 0.33}
{'loss': 2.2783, 'learning_rate': 4.448599442584164e-05, 'epoch': 0.33}
{'loss': 2.2617, 'learning_rate': 4.4430297399840045e-05, 'epoch': 0.33}
{'loss': 2.3021, 'learning_rate': 4.4374600373838446e-05, 'epoch': 0.34}
{'loss': 2.2744, 'learning_rate': 4.4318903347836846e-05, 'epoch': 0.34}
{'loss': 2.2746, 'learning_rate': 4.426320632183524e-05, 'epoch': 0.34}
{'loss': 2.2857, 'learning_rate': 4.420750929583364e-05, 'epoch': 0.35}
{'loss': 2.2826, 'learning_rate': 4.415181226983204e-05, 'epoch': 0.35}
