-------------ALL IMPORTED------------
-------------Big Data Train Text File WAS ALREADY MADE------------
-------------Big Data Test Text File WAS ALREADY MADE------------
04/04/2021 00:09:01 - WARNING - __main__ -   Process rank: -1, device: cuda:0, n_gpu: 2distributed training: False, 16-bits training: False
04/04/2021 00:09:01 - INFO - __main__ -   Training/evaluation parameters TrainingArguments(output_dir=/scratch/as11919/Domain-Adaptation/movie_roberta/roberta_DAPT_movies_model_withEVAL, overwrite_output_dir=False, do_train=True, do_eval=True, do_predict=False, evaluation_strategy=IntervalStrategy.NO, prediction_loss_only=False, per_device_train_batch_size=8, per_device_eval_batch_size=8, gradient_accumulation_steps=1, eval_accumulation_steps=None, learning_rate=5e-05, weight_decay=0.0, adam_beta1=0.9, adam_beta2=0.999, adam_epsilon=1e-08, max_grad_norm=1.0, num_train_epochs=3.0, max_steps=-1, lr_scheduler_type=SchedulerType.LINEAR, warmup_ratio=0.0, warmup_steps=0, logging_dir=runs/Apr04_00-09-01_gr027.nyu.cluster, logging_strategy=IntervalStrategy.STEPS, logging_first_step=False, logging_steps=500, save_strategy=IntervalStrategy.STEPS, save_steps=75000, save_total_limit=None, no_cuda=False, seed=42, fp16=False, fp16_opt_level=O1, fp16_backend=auto, fp16_full_eval=False, local_rank=-1, tpu_num_cores=None, tpu_metrics_debug=False, debug=False, dataloader_drop_last=False, eval_steps=5000, dataloader_num_workers=0, past_index=-1, run_name=/scratch/as11919/Domain-Adaptation/movie_roberta/roberta_DAPT_movies_model_withEVAL, disable_tqdm=False, remove_unused_columns=True, label_names=None, load_best_model_at_end=False, metric_for_best_model=None, greater_is_better=None, ignore_data_skip=False, sharded_ddp=[], deepspeed=None, label_smoothing_factor=0.0, adafactor=False, group_by_length=False, report_to=['tensorboard', 'wandb'], ddp_find_unused_parameters=None, dataloader_pin_memory=True, skip_memory_metrics=False, _n_gpu=2)
huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
{'loss': 2.2672, 'learning_rate': 4.5469084050168987e-05, 'epoch': 0.27}
{'loss': 2.2782, 'learning_rate': 4.544111543319473e-05, 'epoch': 0.27}
{'loss': 2.2944, 'learning_rate': 4.541314681622046e-05, 'epoch': 0.28}
{'loss': 2.2989, 'learning_rate': 4.538517819924619e-05, 'epoch': 0.28}
{'loss': 2.2523, 'learning_rate': 4.535720958227193e-05, 'epoch': 0.28}
{'loss': 2.2985, 'learning_rate': 4.532924096529766e-05, 'epoch': 0.28}
{'loss': 2.234, 'learning_rate': 4.53012723483234e-05, 'epoch': 0.28}
{'loss': 2.2587, 'learning_rate': 4.527330373134913e-05, 'epoch': 0.28}
{'loss': 2.2921, 'learning_rate': 4.524533511437487e-05, 'epoch': 0.29}
{'loss': 2.2597, 'learning_rate': 4.52173664974006e-05, 'epoch': 0.29}
{'loss': 2.2404, 'learning_rate': 4.518939788042633e-05, 'epoch': 0.29}
{'loss': 2.2257, 'learning_rate': 4.5161429263452065e-05, 'epoch': 0.29}
{'loss': 2.256, 'learning_rate': 4.513346064647781e-05, 'epoch': 0.29}
{'loss': 2.2582, 'learning_rate': 4.5105492029503535e-05, 'epoch': 0.29}
{'loss': 2.3005, 'learning_rate': 4.507752341252927e-05, 'epoch': 0.3}
{'loss': 2.2848, 'learning_rate': 4.5049554795555005e-05, 'epoch': 0.3}
{'loss': 2.3143, 'learning_rate': 4.502158617858074e-05, 'epoch': 0.3}
{'loss': 2.2827, 'learning_rate': 4.4993617561606475e-05, 'epoch': 0.3}
{'loss': 2.2977, 'learning_rate': 4.496564894463221e-05, 'epoch': 0.3}
{'loss': 2.2489, 'learning_rate': 4.4937680327657945e-05, 'epoch': 0.3}
{'loss': 2.2975, 'learning_rate': 4.490971171068368e-05, 'epoch': 0.31}
{'loss': 2.2606, 'learning_rate': 4.488174309370941e-05, 'epoch': 0.31}
{'loss': 2.3085, 'learning_rate': 4.485377447673515e-05, 'epoch': 0.31}
{'loss': 2.2664, 'learning_rate': 4.4825805859760885e-05, 'epoch': 0.31}
{'loss': 2.3037, 'learning_rate': 4.479783724278661e-05, 'epoch': 0.31}
{'loss': 2.2683, 'learning_rate': 4.476986862581235e-05, 'epoch': 0.31}
{'loss': 2.3213, 'learning_rate': 4.4741900008838083e-05, 'epoch': 0.32}
{'loss': 2.2994, 'learning_rate': 4.471393139186382e-05, 'epoch': 0.32}
{'loss': 2.2238, 'learning_rate': 4.4685962774889553e-05, 'epoch': 0.32}
{'loss': 2.2695, 'learning_rate': 4.465799415791529e-05, 'epoch': 0.32}
{'loss': 2.2804, 'learning_rate': 4.4630025540941023e-05, 'epoch': 0.32}
{'loss': 2.2657, 'learning_rate': 4.460205692396676e-05, 'epoch': 0.32}
{'loss': 2.2543, 'learning_rate': 4.457408830699249e-05, 'epoch': 0.33}
{'loss': 2.2828, 'learning_rate': 4.454611969001823e-05, 'epoch': 0.33}
{'loss': 2.2987, 'learning_rate': 4.4518151073043964e-05, 'epoch': 0.33}
{'loss': 2.2568, 'learning_rate': 4.44901824560697e-05, 'epoch': 0.33}
{'loss': 2.2679, 'learning_rate': 4.446221383909543e-05, 'epoch': 0.33}
