-------------ALL IMPORTED------------
-------------Big Data Train Text File WAS ALREADY MADE------------
-------------Big Data Test Text File WAS ALREADY MADE------------
04/05/2021 09:12:51 - WARNING - __main__ -   Process rank: -1, device: cuda:0, n_gpu: 2distributed training: False, 16-bits training: False
04/05/2021 09:12:51 - INFO - __main__ -   Training/evaluation parameters TrainingArguments(output_dir=/scratch/as11919/Domain-Adaptation/movie_roberta/roberta_DAPT_movies_model_withEVAL, overwrite_output_dir=False, do_train=True, do_eval=True, do_predict=False, evaluation_strategy=IntervalStrategy.NO, prediction_loss_only=False, per_device_train_batch_size=8, per_device_eval_batch_size=8, gradient_accumulation_steps=1, eval_accumulation_steps=None, learning_rate=5e-05, weight_decay=0.0, adam_beta1=0.9, adam_beta2=0.999, adam_epsilon=1e-08, max_grad_norm=1.0, num_train_epochs=3.0, max_steps=-1, lr_scheduler_type=SchedulerType.LINEAR, warmup_ratio=0.0, warmup_steps=0, logging_dir=runs/Apr05_09-12-51_gv04.nyu.cluster, logging_strategy=IntervalStrategy.STEPS, logging_first_step=False, logging_steps=500, save_strategy=IntervalStrategy.STEPS, save_steps=7500, save_total_limit=None, no_cuda=False, seed=42, fp16=False, fp16_opt_level=O1, fp16_backend=auto, fp16_full_eval=False, local_rank=-1, tpu_num_cores=None, tpu_metrics_debug=False, debug=False, dataloader_drop_last=False, eval_steps=500, dataloader_num_workers=0, past_index=-1, run_name=/scratch/as11919/Domain-Adaptation/movie_roberta/roberta_DAPT_movies_model_withEVAL, disable_tqdm=False, remove_unused_columns=True, label_names=None, load_best_model_at_end=False, metric_for_best_model=None, greater_is_better=None, ignore_data_skip=False, sharded_ddp=[], deepspeed=None, label_smoothing_factor=0.0, adafactor=False, group_by_length=False, report_to=['tensorboard', 'wandb'], ddp_find_unused_parameters=None, dataloader_pin_memory=True, skip_memory_metrics=False, _n_gpu=2)
huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
{'loss': 2.2989, 'learning_rate': 4.158144629074608e-05, 'epoch': 0.51}
{'loss': 2.2662, 'learning_rate': 4.155347767377182e-05, 'epoch': 0.51}
{'loss': 2.2477, 'learning_rate': 4.152550905679755e-05, 'epoch': 0.51}
{'loss': 2.3006, 'learning_rate': 4.1497540439823284e-05, 'epoch': 0.51}
{'loss': 2.267, 'learning_rate': 4.146957182284902e-05, 'epoch': 0.51}
{'loss': 2.256, 'learning_rate': 4.1441603205874754e-05, 'epoch': 0.51}
{'loss': 2.2151, 'learning_rate': 4.141363458890049e-05, 'epoch': 0.52}
{'loss': 2.2436, 'learning_rate': 4.1385665971926224e-05, 'epoch': 0.52}
{'loss': 2.2432, 'learning_rate': 4.135769735495196e-05, 'epoch': 0.52}
{'loss': 2.2743, 'learning_rate': 4.1329728737977694e-05, 'epoch': 0.52}
{'loss': 2.2614, 'learning_rate': 4.130176012100342e-05, 'epoch': 0.52}
{'loss': 2.2423, 'learning_rate': 4.1273791504029164e-05, 'epoch': 0.52}
{'loss': 2.2847, 'learning_rate': 4.12458228870549e-05, 'epoch': 0.53}
{'loss': 2.2644, 'learning_rate': 4.121785427008063e-05, 'epoch': 0.53}
{'loss': 2.2294, 'learning_rate': 4.118988565310636e-05, 'epoch': 0.53}
{'loss': 2.2361, 'learning_rate': 4.11619170361321e-05, 'epoch': 0.53}
{'loss': 2.2672, 'learning_rate': 4.113394841915783e-05, 'epoch': 0.53}
{'loss': 2.2656, 'learning_rate': 4.110597980218357e-05, 'epoch': 0.53}
{'loss': 2.2604, 'learning_rate': 4.10780111852093e-05, 'epoch': 0.54}
{'loss': 2.266, 'learning_rate': 4.105004256823504e-05, 'epoch': 0.54}
{'loss': 2.2526, 'learning_rate': 4.102207395126077e-05, 'epoch': 0.54}
{'loss': 2.2883, 'learning_rate': 4.09941053342865e-05, 'epoch': 0.54}
{'loss': 2.2322, 'learning_rate': 4.096613671731224e-05, 'epoch': 0.54}
{'loss': 2.2503, 'learning_rate': 4.093816810033798e-05, 'epoch': 0.54}
{'loss': 2.2766, 'learning_rate': 4.091019948336371e-05, 'epoch': 0.55}
{'loss': 2.2878, 'learning_rate': 4.088223086638944e-05, 'epoch': 0.55}
{'loss': 2.258, 'learning_rate': 4.0854262249415176e-05, 'epoch': 0.55}
{'loss': 2.271, 'learning_rate': 4.082629363244092e-05, 'epoch': 0.55}
{'loss': 2.2875, 'learning_rate': 4.0798325015466646e-05, 'epoch': 0.55}
{'loss': 2.2471, 'learning_rate': 4.077035639849238e-05, 'epoch': 0.55}
{'loss': 2.2808, 'learning_rate': 4.0742387781518116e-05, 'epoch': 0.56}
{'loss': 2.271, 'learning_rate': 4.071441916454385e-05, 'epoch': 0.56}
{'loss': 2.2826, 'learning_rate': 4.068645054756958e-05, 'epoch': 0.56}
{'loss': 2.2232, 'learning_rate': 4.065848193059532e-05, 'epoch': 0.56}
{'loss': 2.2305, 'learning_rate': 4.0630513313621056e-05, 'epoch': 0.56}
{'loss': 2.2449, 'learning_rate': 4.060254469664679e-05, 'epoch': 0.56}
{'loss': 2.2611, 'learning_rate': 4.057457607967252e-05, 'epoch': 0.57}
{'loss': 2.2012, 'learning_rate': 4.0546607462698254e-05, 'epoch': 0.57}
